date,weekday,state_fips,state_name,state_code,covid,submetric,metric,n_grade,grade,last_updated
2020-03-27,6,25,Massachusetts,MA,POST,travel distance,-0.50894180378053477,3,C,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,24,Maryland,MD,POST,visitations,-0.60636972992395211,3,C,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,24,Maryland,MD,POST,total,-0.51507227235204489,3,C,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,24,Maryland,MD,POST,travel distance,-0.42377481478013757,3,C,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,23,Maine,ME,POST,visitations,-0.56733862222956355,2,D,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,23,Maine,ME,POST,total,-0.48415607370222363,2.5,C-,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,23,Maine,ME,POST,travel distance,-0.40097352517488372,3,C,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,26,Michigan,MI,POST,visitations,-0.7032724360370014,5,A,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,26,Michigan,MI,POST,total,-0.612550629551861,4,B,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,26,Michigan,MI,POST,travel distance,-0.52182882306672052,3,C,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,27,Minnesota,MN,POST,visitations,-0.571921218423394,2,D,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,27,Minnesota,MN,POST,total,-0.4968505514081803,2.5,C-,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,27,Minnesota,MN,POST,travel distance,-0.42177988439296654,3,C,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,29,Missouri,MO,POST,visitations,-0.586726987346718,2,D,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,29,Missouri,MO,POST,total,-0.47856735118879851,2,D,2020-03-31 15:21:02.613002 UTC
